af-ZA-AdriNeural | af-ZA | Female
af-ZA-WillemNeural | af-ZA | Male
sq-AL-AnilaNeural | sq-AL | Female
sq-AL-IlirNeural | sq-AL | Male
am-ET-AmehaNeural | am-ET | Male
am-ET-MekdesNeural | am-ET | Female
ar-DZ-AminaNeural | ar-DZ | Female
ar-DZ-IsmaelNeural | ar-DZ | Male
ar-BH-AliNeural | ar-BH | Male
ar-BH-LailaNeural | ar-BH | Female
ar-EG-SalmaNeural | ar-EG | Female
ar-EG-ShakirNeural | ar-EG | Male
ar-IQ-BasselNeural | ar-IQ | Male
ar-IQ-RanaNeural | ar-IQ | Female
ar-JO-SanaNeural | ar-JO | Female
ar-JO-TaimNeural | ar-JO | Male
ar-KW-FahedNeural | ar-KW | Male
ar-KW-NouraNeural | ar-KW | Female
ar-LB-LaylaNeural | ar-LB | Female
ar-LB-RamiNeural | ar-LB | Male
ar-LY-ImanNeural | ar-LY | Female
ar-LY-OmarNeural | ar-LY | Male
ar-MA-JamalNeural | ar-MA | Male
ar-MA-MounaNeural | ar-MA | Female
ar-OM-AbdullahNeural | ar-OM | Male
ar-OM-AyshaNeural | ar-OM | Female
ar-QA-AmalNeural | ar-QA | Female
ar-QA-MoazNeural | ar-QA | Male
ar-SA-HamedNeural | ar-SA | Male
ar-SA-ZariyahNeural | ar-SA | Female
ar-SY-AmanyNeural | ar-SY | Female
ar-SY-LaithNeural | ar-SY | Male
ar-TN-HediNeural | ar-TN | Male
ar-TN-ReemNeural | ar-TN | Female
ar-AE-FatimaNeural | ar-AE | Female
ar-AE-HamdanNeural | ar-AE | Male
ar-YE-MaryamNeural | ar-YE | Female
ar-YE-SalehNeural | ar-YE | Male
az-AZ-BabekNeural | az-AZ | Male
az-AZ-BanuNeural | az-AZ | Female
bn-BD-NabanitaNeural | bn-BD | Female
bn-BD-PradeepNeural | bn-BD | Male
bn-IN-BashkarNeural | bn-IN | Male
bn-IN-TanishaaNeural | bn-IN | Female
bs-BA-VesnaNeural | bs-BA | Female
bs-BA-GoranNeural | bs-BA | Male
bg-BG-BorislavNeural | bg-BG | Male
bg-BG-KalinaNeural | bg-BG | Female
my-MM-NilarNeural | my-MM | Female
my-MM-ThihaNeural | my-MM | Male
ca-ES-EnricNeural | ca-ES | Male
ca-ES-JoanaNeural | ca-ES | Female
zh-HK-HiuGaaiNeural | zh-HK | Female
zh-HK-HiuMaanNeural | zh-HK | Female
zh-HK-WanLungNeural | zh-HK | Male
zh-CN-XiaoxiaoNeural | zh-CN | Female
zh-CN-XiaoyiNeural | zh-CN | Female
zh-CN-YunjianNeural | zh-CN | Male
zh-CN-YunxiNeural | zh-CN | Male
zh-CN-YunxiaNeural | zh-CN | Male
zh-CN-YunyangNeural | zh-CN | Male
zh-CN-liaoning-XiaobeiNeural | zh-CN-liaoning | Female
zh-TW-HsiaoChenNeural | zh-TW | Female
zh-TW-YunJheNeural | zh-TW | Male
zh-TW-HsiaoYuNeural | zh-TW | Female
zh-CN-shaanxi-XiaoniNeural | zh-CN-shaanxi | Female
hr-HR-GabrijelaNeural | hr-HR | Female
hr-HR-SreckoNeural | hr-HR | Male
cs-CZ-AntoninNeural | cs-CZ | Male
cs-CZ-VlastaNeural | cs-CZ | Female
da-DK-ChristelNeural | da-DK | Female
da-DK-JeppeNeural | da-DK | Male
nl-BE-ArnaudNeural | nl-BE | Male
nl-BE-DenaNeural | nl-BE | Female
nl-NL-ColetteNeural | nl-NL | Female
nl-NL-FennaNeural | nl-NL | Female
nl-NL-MaartenNeural | nl-NL | Male
en-AU-WilliamMultilingualNeural | en-AU | Male
en-AU-NatashaNeural | en-AU | Female
en-CA-ClaraNeural | en-CA | Female
en-CA-LiamNeural | en-CA | Male
en-HK-YanNeural | en-HK | Female
en-HK-SamNeural | en-HK | Male
en-IN-NeerjaExpressiveNeural | en-IN | Female
en-IN-NeerjaNeural | en-IN | Female
en-IN-PrabhatNeural | en-IN | Male
en-IE-ConnorNeural | en-IE | Male
en-IE-EmilyNeural | en-IE | Female
en-KE-AsiliaNeural | en-KE | Female
en-KE-ChilembaNeural | en-KE | Male
en-NZ-MitchellNeural | en-NZ | Male
en-NZ-MollyNeural | en-NZ | Female
en-NG-AbeoNeural | en-NG | Male
en-NG-EzinneNeural | en-NG | Female
en-PH-JamesNeural | en-PH | Male
en-PH-RosaNeural | en-PH | Female
en-US-AvaNeural | en-US | Female
en-US-AndrewNeural | en-US | Male
en-US-EmmaNeural | en-US | Female
en-US-BrianNeural | en-US | Male
en-SG-LunaNeural | en-SG | Female
en-SG-WayneNeural | en-SG | Male
